path,size_bytes,extension,keyword_hits,scanned,exclusion_reason
results\tables\multitarget_causal\causal_fold_specific_two_pass_percent_Iba1_positive_area_Grey_matter_by_donor_modules.csv,206461,.csv,AD;APOE;GO;Iba1;TREM2;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_percent_Iba1_positive_area_Grey_matter_by_fold.csv,18221,.csv,Iba1;TREM2;microglia,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_percent_Iba1_positive_area_Grey_matter_by_fold_modules.csv,12579,.csv,AD;APOE;GO;Iba1;TREM2;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_percent_Iba1_positive_area_Grey_matter_modules.csv,5322,.csv,AD;APOE;GO;Iba1;TREM2;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_percent_NeuN_positive_area_Grey_matter.csv,8865,.csv,APOE;NeuN;TREM2;microglia,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_percent_NeuN_positive_area_Grey_matter_by_donor.csv,264505,.csv,APOE;NeuN;TREM2;microglia,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_percent_NeuN_positive_area_Grey_matter_by_donor_modules.csv,206577,.csv,AD;APOE;GO;NeuN;TREM2;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_percent_NeuN_positive_area_Grey_matter_by_fold.csv,20408,.csv,APOE;NeuN;TREM2;microglia,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_percent_NeuN_positive_area_Grey_matter_by_fold_modules.csv,12645,.csv,AD;APOE;GO;NeuN;TREM2;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_percent_NeuN_positive_area_Grey_matter_modules.csv,5371,.csv,AD;APOE;GO;NeuN;TREM2;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_ripa_pTau_Grey_matter.csv,7975,.csv,AD;TREM2;microglia;senescence;tau,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_ripa_pTau_Grey_matter_by_donor.csv,231085,.csv,AD;TREM2;microglia;senescence;tau,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_ripa_pTau_Grey_matter_by_donor_modules.csv,206438,.csv,AD;APOE;GO;TREM2;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence;tau,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_ripa_pTau_Grey_matter_by_fold.csv,18255,.csv,AD;TREM2;microglia;senescence;tau,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_ripa_pTau_Grey_matter_by_fold_modules.csv,12628,.csv,AD;APOE;GO;TREM2;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence;tau,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_ripa_pTau_Grey_matter_modules.csv,5303,.csv,AD;APOE;GO;TREM2;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence;tau,True,
results\tables\multitarget_causal\confounder_adjusted_module_effects_guhcl_abeta42_Grey_matter.csv,2686,.csv,AD;GO;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\tables\multitarget_causal\confounder_adjusted_module_effects_guhcl_pTau_Grey_matter.csv,2748,.csv,AD;GO;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence;tau,True,
results\tables\multitarget_causal\confounder_adjusted_module_effects_percent_6e10_positive_area_Grey_matter.csv,2928,.csv,AD;GO;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\tables\multitarget_causal\confounder_adjusted_module_effects_percent_AT8_positive_area_Grey_matter.csv,2945,.csv,AD;GO;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\tables\multitarget_causal\confounder_adjusted_module_effects_percent_GFAP_positive_area_Grey_matter.csv,2961,.csv,AD;GFAP;GO;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\tables\multitarget_causal\confounder_adjusted_module_effects_percent_Iba1_positive_area_Grey_matter.csv,2958,.csv,AD;GO;Iba1;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\tables\multitarget_causal\confounder_adjusted_module_effects_percent_NeuN_positive_area_Grey_matter.csv,2963,.csv,AD;GO;NeuN;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\tables\multitarget_causal\confounder_adjusted_module_effects_ripa_abeta42_Grey_matter.csv,2685,.csv,AD;GO;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\tables\multitarget_causal\confounder_adjusted_module_effects_ripa_pTau_Grey_matter.csv,2719,.csv,AD;GO;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence;tau,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0001_metadata.csv,853,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0002_metadata.csv,855,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0003_metadata.csv,855,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0004_metadata.csv,855,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0005_metadata.csv,855,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0006_metadata.csv,854,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0007_metadata.csv,855,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0008_metadata.csv,855,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0009_metadata.csv,855,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0010_metadata.csv,854,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0011_metadata.csv,856,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0012_metadata.csv,856,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0013_metadata.csv,856,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0014_metadata.csv,856,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0015_metadata.csv,856,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0016_metadata.csv,856,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0017_metadata.csv,856,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0018_metadata.csv,856,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0019_metadata.csv,856,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0020_metadata.csv,856,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0021_metadata.csv,856,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0022_metadata.csv,856,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0023_metadata.csv,856,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0024_metadata.csv,856,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0025_metadata.csv,856,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0026_metadata.csv,856,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0027_metadata.csv,855,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_targeted_manifold_audit_smoke_v1\feature_wide_chunk_0001_metadata.csv,745,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_targeted_manifold_audit_v1\feature_wide_chunk_0001_metadata.csv,721,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\discovery_tier1_pending_manifold_audit_v1_summary\feature_wide_chunk_0001_metadata.csv,773,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix\feature_wide_chunk_0001_donor.csv,94866,.csv,AD;GFAP;Iba1;NeuN;interferon,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix\feature_wide_chunk_0001_metadata.csv,749,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix\feature_wide_chunk_0001_normalized.csv,1696,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix\feature_wide_chunk_0001_summary.csv,2622,.csv,AD;GFAP;Iba1;NeuN;interferon,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix\feature_wide_chunk_0002_donor.csv,93754,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix\feature_wide_chunk_0002_metadata.csv,748,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix\feature_wide_chunk_0002_normalized.csv,1685,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix\feature_wide_chunk_0002_summary.csv,2610,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix\feature_wide_chunk_0003_donor.csv,93629,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix\feature_wide_chunk_0003_metadata.csv,749,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix\feature_wide_chunk_0003_normalized.csv,1671,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix\feature_wide_chunk_0003_summary.csv,2596,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix_skip_nn\feature_wide_chunk_0001_donor.csv,94947,.csv,AD;GFAP;Iba1;NeuN;interferon,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix_skip_nn\feature_wide_chunk_0001_metadata.csv,781,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix_skip_nn\feature_wide_chunk_0001_normalized.csv,1338,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix_skip_nn\feature_wide_chunk_0001_summary.csv,2302,.csv,AD;GFAP;Iba1;NeuN;interferon,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix_skip_nn\feature_wide_chunk_0002_donor.csv,93792,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix_skip_nn\feature_wide_chunk_0002_metadata.csv,781,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix_skip_nn\feature_wide_chunk_0002_normalized.csv,1335,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix_skip_nn\feature_wide_chunk_0002_summary.csv,2284,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix_skip_nn\feature_wide_chunk_0003_donor.csv,93522,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix_skip_nn\feature_wide_chunk_0003_metadata.csv,780,.csv,AD,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix_skip_nn\feature_wide_chunk_0003_normalized.csv,1323,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\_feature_wide_counterfactual_chunks\test_graph_connected_feature_wide_threadfix_skip_nn\feature_wide_chunk_0003_summary.csv,2277,.csv,AD;GFAP;Iba1;NeuN,True,
results\reports\all_jepa_umap_variance_rankings.md,3637,.md,GO;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\reports\discovery_ablation_artifact_readiness_v1.md,2875,.md,AD;GO,True,
results\reports\discovery_ablation_training_decision_packet_v1.md,3825,.md,AD,True,
results\reports\discovery_ablation_training_protocol_v1.md,4517,.md,AD;microglia,True,
results\reports\discovery_atlas_final_state_audit.md,480,.md,AD,True,
results\reports\discovery_atlas_input_availability.md,10426,.md,AD;GO;amyloid,True,
results\reports\discovery_atlas_lightweight_checks.md,3599,.md,AD,True,
results\reports\discovery_baseline_comparison_gate.md,5192,.md,AD;GFAP;Iba1;NeuN,True,
results\reports\discovery_feature_wide_counterfactual_feasibility.md,1648,.md,AD;microglia,True,
results\reports\discovery_final_candidate_shortlist_v1.md,51189,.md,AD;APOE;TREM2;amyloid;tau,True,
results\reports\discovery_final_candidate_shortlist_v2.md,16071,.md,AD;APOE;TREM2,True,
results\reports\discovery_final_candidate_shortlist_v3.md,15316,.md,AD;APOE;TREM2,True,
results\reports\discovery_graph_connected_feature_wide_pathology_axis_fingerprints.md,1915,.md,AD;GFAP;Iba1;NeuN;amyloid;tau,True,
results\reports\discovery_graph_connected_feature_wide_postrun_qc.md,1353,.md,AD;GFAP;Iba1;NeuN,True,
results\reports\discovery_graph_neighborhood_coherence.md,3861,.md,APOE;amyloid,True,
results\reports\discovery_internal_evidence_scorecard_v1.md,11622,.md,AD;APOE;NeuN;TREM2,True,
results\reports\discovery_internal_evidence_scorecard_v1_annotated.md,868,.md,AD,True,
results\reports\discovery_internal_robustness_stability_v1.md,6997,.md,AD;APOE;GFAP;Iba1;amyloid;tau,True,
results\reports\discovery_level2_gliosis_failure_diagnostics_v1.md,1817,.md,GFAP;Iba1,True,
results\reports\discovery_negative_controls.md,20177,.md,AD;APOE;GO;TREM2;amyloid;tau,True,
results\reports\discovery_pathology_axis_fingerprints.md,6854,.md,AD;GFAP;GO;Iba1;NeuN;amyloid;complement;lysosome;microglia;phagocytosis;senescence;tau,True,
results\reports\discovery_pilot_feature_wide_counterfactual_validation.md,1559,.md,AD;GFAP;Iba1;NeuN,True,
results\reports\discovery_scorecard_v2_graph_connected_feature_wide.md,8534,.md,AD;APOE;GO;NeuN;amyloid;tau,True,
results\reports\discovery_scorecard_v2_graph_neighborhood_coherence.md,9852,.md,AD;APOE;amyloid;tau,True,
results\reports\discovery_scorecard_v2_negative_controls.md,14725,.md,AD;APOE;amyloid;tau,True,
results\reports\discovery_targeted_manifold_audit_gene_list_v1.md,11050,.md,AD;APOE;TREM2,True,
results\reports\discovery_targeted_manifold_audit_smoke_v1_feasibility.md,1614,.md,AD;microglia,True,
results\reports\discovery_targeted_manifold_audit_v1.md,4228,.md,AD;GFAP;Iba1;NeuN,True,
results\reports\discovery_targeted_manifold_audit_v1_feasibility.md,1610,.md,AD;microglia,True,
results\reports\discovery_tier1_pending_manifold_audit_v1_feasibility.md,1623,.md,AD;microglia,True,
results\reports\existing_graph_jepa_env_package_audit_v1.md,3535,.md,AD,True,
results\reports\existing_graph_jepa_env_selection_recommendation_v1.md,1270,.md,AD,True,
results\reports\existing_v1_no_graph_ablation_compatibility_v1.md,19832,.md,AD;microglia,True,
results\reports\external_validation_gse174367.md,4589,.md,AD;GFAP;Iba1;NeuN;microglia;tau,True,
results\reports\external_validation_gse174367_smoke.md,3682,.md,AD;GFAP;Iba1;NeuN;microglia;tau,True,
results\reports\graph_ablation_edge_set_manifest_v1.md,2426,.md,AD;microglia,True,
results\reports\graph_jepa_v3_benchmark_discovery_design_spec_v1.md,8917,.md,AD;GFAP;GO;Iba1;NeuN;microglia,True,
results\reports\graph_jepa_v3_causal_inference_layer_spec_v1.md,5961,.md,AD;microglia,True,
results\reports\jepa_representation_overlays.md,1503,.md,AD;GO;NeuN;complement;microglia;tau,True,
results\reports\jepa_v2_translational_actionability.md,3294,.md,AD;GO;microglia,True,
results\reports\microglia_pvm_hypothesis_report.md,1211,.md,NeuN;complement;interferon;microglia;tau,True,
results\reports\microglia_pvm_integrated_report.md,4092,.md,AD;APOE;GO;KEGG;MSigDB;NeuN;Reactome;TREM2;complement;interferon;microglia;tau,True,
results\reports\no_graph_ablation_predictive_representation_comparison_v1.md,5966,.md,AD;GFAP;Iba1;NeuN,True,
results\reports\no_graph_ablation_preflight_v1.md,2554,.md,AD;microglia,True,
results\reports\no_graph_ablation_training_run_manifest_v1.md,3186,.md,AD;microglia,True,
results\reports\open_validation_framework_plan_v1.md,7680,.md,AD;APOE;microglia,True,
results\reports\sea_ad_full_metadata_covariate_audit.md,3100,.md,AD;APOE;Alzheimer;tau,True,
results\reports\sea_ad_low_pathology_anchor_audit.md,3141,.md,AD;GO;microglia,True,
results\reports\shuffled_graph_ablation_preflight_v1.md,4301,.md,AD;microglia,True,
results\reports\shuffled_graph_ablation_training_command_v1.md,1996,.md,AD;microglia,True,
results\reports\stage27c_rescue_report_v1.md,14495,.md,AD;GFAP;Iba1;NeuN,True,
results\reports\stage27_external_pretraining_readiness_v1.md,3062,.md,AD;DAM;microglia,True,
results\reports\stage27_failure_diagnosis_v1.md,1952,.md,GFAP;Iba1;NeuN;amyloid,True,
results\reports\stage27_non_graph_v3_report_v1.md,5944,.md,AD;GFAP;Iba1;NeuN;microglia,True,
results\reports\stage30_graph_controls_report_v1.md,13781,.md,AD;GFAP;GO;Iba1;NeuN;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\reports\stage31_residual_graph_controls_report_v1.md,59668,.md,AD;GFAP;GO;Iba1;NeuN;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\reports\stage32b_approved_external_pretraining_matrix_report_v1.md,25800,.md,AD;DAM;microglia,True,
results\reports\stage32c_bulk_approved_external_acquisition_report_v1.md,7396,.md,AD;GO;microglia,True,
results\reports\stage32_external_pretraining_matrix_report_v1.md,29852,.md,AD;DAM;microglia,True,
results\reports\stage33a_external_pretrained_jepa_report_v1.md,2089,.md,AD,True,
results\reports\stage33b_external_pretrained_jepa_report_v1.md,10897,.md,AD;GFAP;Iba1;NeuN,True,
results\reports\stage33c_external_pretrained_diagnostic_rescue_report_v1.md,18388,.md,AD;GFAP;Iba1;NeuN,True,
results\reports\stage34a_hbca_microglia_filtered_external_pretraining_report_v1.md,13948,.md,AD;GFAP;Iba1;NeuN;microglia,True,
results\reports\stage34b_hbcc_external_pretraining_report_v1.md,14948,.md,AD;GFAP;GO;Iba1;NeuN;microglia,True,
results\reports\stage35a_target_aware_weak_graph_rescue_report_v1.md,26744,.md,AD;GFAP;GO;Iba1;NeuN;amyloid;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence;tau,True,
results\reports\stage35b_graph_laplacian_regularized_ridge_report_v1.md,17342,.md,AD;GFAP;Iba1;NeuN;amyloid;tau,True,
results\reports\stage35c_latent_module_graph_report_v1.md,18460,.md,AD;GFAP;Iba1;NeuN;amyloid;microglia;tau,True,
results\reports\stage35d_perturbation_graph_diagnostic_report_v1.md,2583,.md,AD,True,
results\reports\stage35e_graph_diagnostics_synthesis_report_v1.md,10383,.md,AD;microglia,True,
results\reports\stage36a_agent_readable_hypotheses_v1.md,12976,.md,AD;GFAP;GO;Iba1;NeuN;chemokine;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\reports\stage36a_module_counterfactual_agent_report_v1.md,38995,.md,AD;GFAP;GO;Iba1;NeuN;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\reports\stage_c_upgrade_fine_08_hypothesis_report.md,2438,.md,AD;GFAP;NeuN;complement;interferon;microglia;tau,True,
results\reports\strict_shuffled_graph_ablation_predictive_representation_comparison_v1.md,7564,.md,AD;GFAP;Iba1;NeuN,True,
results\reports\strict_shuffled_graph_ablation_preflight_v1.md,4312,.md,AD;microglia,True,
results\reports\strict_shuffled_graph_ablation_training_command_v1.md,2137,.md,AD;microglia,True,
results\reports\strict_shuffled_graph_ablation_training_run_manifest_v1.md,2366,.md,AD;microglia,True,
results\reports\strict_shuffled_graph_edge_generation_v1.md,1843,.md,AD,True,
results\reports\v1_microglia_biological_hypotheses.md,6521,.md,AD;APOE;GFAP;GO;Iba1;NeuN;TREM2;antigen presentation;complement;interferon;lysosome;microglia;phagocytosis;senescence;tau,True,
results\reports\v2_1_microglia_biological_hypotheses.md,13104,.md,AD;APOE;GFAP;GO;NeuN;TREM2;chemokine;complement;lysosome;microglia;phagocytosis;senescence,True,
results\reports\v2_1_multitarget_counterfactual_stability.md,5536,.md,AD;APOE;GFAP;GO;Iba1;NeuN;amyloid;complement;lysosome;microglia;phagocytosis;senescence;tau,True,
results\reports\v2_1_named_biological_programs.md,5365,.md,AD;APOE;DAM;GFAP;GO;Iba1;NeuN;TREM2;amyloid;antigen presentation;complement;lysosome;microglia;phagocytosis;tau,True,
results\reports\v2_2_cellxgene_alignment_stats.md,1475,.md,AD;Alzheimer;microglia,True,
results\reports\v2_graph_foundation.md,3340,.md,AD;GO;microglia,True,
results\reports\v3_cellxgene_relevant_dataset_search_v1.md,19417,.md,AD;Alzheimer;GO;microglia,True,
results\reports\v3_external_dataset_role_assignment_v1.md,10318,.md,AD;microglia,True,
results\reports\v3_generalization_stability_gates_v1.md,6329,.md,AD;GFAP;Iba1;NeuN,True,
results\reports\v3_locked_benchmark_harness_v1.md,6512,.md,AD;GFAP;Iba1;NeuN,True,
results\reports\v3_primary_baseline_benchmark_suite_v1.md,11534,.md,AD;GFAP;Iba1;NeuN;microglia,True,
results\reports\v3_primary_baseline_protocol_audit_v1.md,4689,.md,AD;GFAP;Iba1;NeuN;microglia,True,
results\reports\v3_public_external_dataset_schema_audit_v1.md,4755,.md,AD;GO;microglia,True,
results\reports\v3_reusable_asset_inventory_v1.md,15374,.md,AD;APOE;GO;KEGG;Reactome;microglia,True,
results\reports\v3_status_scorecard_dataset_registry_lock_v1.md,1667,.md,AD;microglia,True,
