scorecard_item,status,stage,metric,threshold_or_gate,current_value,pass_fail,datasets_allowed,datasets_forbidden,allowed_claim,notes,stage_id,primary_metric,pass_rule,result,allowed_inputs,forbidden_inputs,interpretation
stage41full_safe_feature_pipeline,complete,Stage 41 Full,stability rescue and lock decision,"mean > Stage27C, >=0.3317, bootstrap lower CI > Stage27C, target/A_beta/Iba1/negative/proxy/stability guards",blend_stage41b_with_stage39e_pca8=0.368087; ci_lower=0.260360,pass,internal SEA-AD Stage41 safe metadata/MRI/module features,raw data committed; forbidden pathology/diagnosis/Luminex predictors,Internal donor-held-out Stage 41 safe metadata/latent signal improves point estimate but does not meet strict robustness lock criteria.,credible_unlocked_stage41_signal,stage41full_safe_feature_pipeline,mean pooled OOF Spearman with bootstrap lower CI,full run and safety audit pass,run_pass=True,Stage41ABC/41B local outputs,Tier3/4 proxy predictors,Internal donor-held-out Stage 41 safe metadata/latent signal improves point estimate but does not meet strict robustness lock criteria.
stage42_safe_external_support_and_manuscript_synthesis,complete,Stage 42,support/readiness and manuscript synthesis,no relock; no external validation claim; claim boundary audit passes,proceed_to_manuscript_draft,pass,existing local outputs and support/readiness tables,external data for training/model selection/relock,Stage 27C remains the locked internal donor-held-out benchmark. Stage 41C produced a credible but unlocked internal safe metadata/latent signal.,report/readiness only,stage42_safe_external_support_and_manuscript_synthesis,claim-safe synthesis completeness,all outputs written and safety audit passes,stage42_run_pass=True,existing Stage27C/36E/37/38/39/40/41 outputs,raw data as predictors or external validation claims,Proceed to manuscript draft with external limitations.
stage45_new_safe_feature_acquisition_and_benchmark,complete,Stage45,new safe feature benchmark,strict lock guards incl CI/target/A_beta/Iba1/negative/proxy,latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered=0.312143; ci=0.214644,pass,SEA-AD internal CELLxGENE metadata/MRI,raw data committed; external validation; forbidden predictors,internal donor-held-out safe feature benchmark attempt,do_not_lock_stage45,stage45_new_safe_feature_acquisition_and_benchmark,mean pooled OOF Spearman,safety/run pass,stage45_run_pass=True,local untracked Stage45 metadata and Stage41 matrices,Tier4 predictors,Stage27C remains locked unless Stage45 lock decision says otherwise.
stage43_manuscript_draft_package,complete,Stage43,manuscript draft readiness,synthesis only; preserve Stage27C lock and claim boundaries,PI review and manuscript editing,pass,existing committed summaries,raw data; new modeling; external validation claims,manuscript-ready internal benchmark and support/readiness synthesis,Stage41C credible-unlocked; Stage45 negative,stage43_manuscript_draft_package,package completeness,all outputs written and safety gates pass,stage43_run_pass=True,existing results/tables and reports,new model training or raw data,Ready for PI review.
stage44_manuscript_polish_figures_tables_pi_review,complete,Stage44,PI review readiness,all manuscript/figure/table/claim outputs written; no new modeling,ready for PI review,pass,existing committed summaries,raw data; new modeling; validation overclaims,polished claim-bounded manuscript package,Stage27C locked; Stage41C credible-unlocked; Stage45 negative,stage44_manuscript_polish_figures_tables_pi_review,package completeness,stage44_run_pass and safety audit,stage44_run_pass=True,Stage43 and prior summary outputs,raw data/new models,Proceed to PI review/manual manuscript editing.
stage47_cross_version_candidate_network_drug_synthesis,complete,Stage47,synthesis readiness,safety audit pass; no benchmark changes; no therapeutic/causal claims,candidate_network_druggability_synthesis_ready_for_pi_review,pass,existing local summaries only,raw data; new modeling; external validation claims,hypothesis-generating disease-state/candidate synthesis,Stage27C locked; Stage41C credible-unlocked; Stage45 negative,stage47_cross_version_candidate_network_drug_synthesis,claim-bounded synthesis completeness,stage47_run_pass and safety audit,stage47_run_pass=True,v1/v2/v3 local evidence summaries,new target-derived ranking/raw external data,Ready for PI review of disease-state model reframing.
stage48_candidate_evidence_consistency_dossier,complete,Stage48,candidate traceability / rerun decision,safety audit pass; no new modeling; broad rediscovery not recommended,do_not_rerun_broad_gene_discovery,pass,existing committed candidate/evidence summaries plus read-only v2 exploratory evidence,raw data; new modeling; target-derived rediscovery,candidate evidence dossier ready for PI review,No benchmark change; Stage27C remains locked.,stage48_candidate_evidence_consistency_dossier,traceability completeness,stage48_run_pass and safety audit,stage48_run_pass=True,Stage36/38/47 tables and v2 exploratory local evidence,new gene discovery/model tuning,Proceed to PI review/validation planning rather than broad rerun.
stage49_known_experimental_evidence_concordance,complete,Stage49,post hoc known-evidence concordance,safety audit pass; no model training; known evidence post hoc only,candidate_known_evidence_concordance_ready_for_manual_review,pass,Stage47/48 candidates; targeted metadata queries; local evidence resources,raw data commits; supervised model tuning; target-derived candidate selection,orthogonal known-evidence concordance for hypothesis prioritization,"Not causal, therapeutic, or external validation.",stage49_known_experimental_evidence_concordance,known evidence concordance score,stage49_run_pass and safety audit,stage49_run_pass=True,Stage47/48 summaries and targeted public metadata,new benchmark tuning/raw data staging,Use for PI/manual evidence review.
stage50_graph_specific_jepa_topology_audit,complete,Stage50,graph-specific topology decision,real graph must beat no-graph/random/shuffled controls without leakage,graph_specific_test_inconclusive_missing_controls,pass,local donor matrix/graph inventories only,raw data commits; target-derived graph/model selection,Graph-specific evaluation requires a clean donor-expression/module matrix and curated graph/background controls.,No benchmark status change.,stage50_graph_specific_jepa_topology_audit,graph_specific_pass,safe completion and no false graph claims,graph_specific_pass=False; audit completed safely,local matrices/graphs,pathology labels during JEPA pretraining,Graph topology benefit not established/inconclusive pending curated graph controls.
stage51_string_graph_topology_jepa_run,complete,Stage51,graph_specific_pass,,False,pass,,,,,stage51_string_graph_topology_jepa_run,,,graph_topology_benefit_not_established,,,Graph topology benefit established only if real graph beat all controls.
,complete,stage53_heterogeneity_composition_auxiliary_jepa,mean pooled OOF Spearman,,,pass,,,,,,,,stage53_run_pass=True,,pathology labels during pretraining; target-derived cell-state selection,
stage53_heterogeneity_composition_auxiliary_jepa,complete,Stage53,mean pooled OOF Spearman,auxiliary branch must improve over programming-only and preserve claim/leakage guards,stage53_run_pass=True,pass,"local SEA-AD pseudobulk, processed microglia/PVM Supertype labels, Stage45 CELLxGENE composition metadata",raw data commits; pathology labels during pretraining; target-derived cell-state selection,hypothesis-generating internal heterogeneity/composition auxiliary-branch benchmark,Stage27C locked; Stage41C credible-unlocked; Stage45 negative; Stage51 graph-null,stage53_heterogeneity_composition_auxiliary_jepa,best branch mean pooled OOF Spearman,run/safety pass; no benchmark lock unless auxiliary branch beats programming-only and controls,stage53_run_pass=True,local processed H5AD metadata and CSV summaries,pathology labels during pretraining; target-derived cell-state selection,Manual/PI review of heterogeneity and composition decomposition; no causal/therapeutic/new subtype claim.
stage54_state_specific_microglia_programming,complete,Stage54,mean pooled OOF Spearman,state-specific programming should beat programming-only and controls without claim/leakage failure,stage54_run_pass=True,pass,local processed SEA-AD microglia/PVM H5AD and internal donor pseudobulk,pathology labels during feature construction; raw data commits; target-derived state selection,hypothesis-generating state-specific microglia programming audit,Stage27C remains locked; Stage53 abundance-only did not rescue benchmark.,stage54_state_specific_microglia_programming,best state-programming branch mean pooled OOF Spearman,safety pass plus branch comparison against programming-only and shuffled control,see stage54_branch_comparison_v1.csv,local H5AD expression for predeclared module genes only,Braak/CERAD/Thal/cognitive/pathology labels as predictors,"Follow-up hypothesis only; no causal, therapeutic, or new subtype claim."
stage55_full_state_specific_microglia_programming,complete,Stage55,mean pooled OOF Spearman,"full state-specific programming should beat programming-only, Stage54, and controls without leakage",stage55_run_pass=True,pass,local processed SEA-AD microglia/PVM H5AD and internal donor pseudobulk,pathology labels during feature construction; raw data commits; target-derived state/gene selection,hypothesis-generating full state-specific microglia programming benchmark,No benchmark lock unless full gates pass; Stage27C remains locked.,stage55_full_state_specific_microglia_programming,best full state-programming branch mean pooled OOF Spearman,"safety pass plus branch comparison against programming-only, Stage54, and shuffled controls",see stage55_branch_comparison_v1.csv,local H5AD expression for unsupervised state-specific pseudobulk and predeclared modules,Braak/CERAD/Thal/cognitive/pathology labels as predictors,"Follow-up hypothesis only; no causal, therapeutic, external-validation, or new subtype claim."
stage56_target_gated_state_programming_ensemble,complete,Stage56,nested target-gated mean pooled OOF Spearman,nested gate must beat Stage27C/Stage55 and shuffled gate without leakage,stage56_run_pass=True,pass,local processed SEA-AD microglia/PVM H5AD and internal donor pseudobulk,outer-test target-guided branch selection; pathology labels during feature construction; raw data commits,internal nested target-gated ensemble audit,Branch choice made by inner CV on training donors only.,stage56_target_gated_state_programming_ensemble,best nested target-gated mean pooled OOF Spearman,"safety pass plus comparison against Stage27C, Stage55, and shuffled gate",see stage56_branch_comparison_v1.csv,local state-module features and programming matrix,outer test labels for gate selection; causal/therapeutic claims,Follow-up target-aware benchmark audit only.
stage57_repaired_state_module_confirmation,complete,Stage57,repaired state-module mean pooled OOF Spearman,beat Stage27C/material threshold and shuffled controls with target guards,stage57_run_pass=True,pass,local processed SEA-AD microglia/PVM H5AD and internal donor pseudobulk,target-derived module/state selection; pathology labels during feature construction; raw data commits,internal repaired state-module confirmation audit,Tests cleaner low-dimensional state-module signal after Stage55 near-miss.,stage57_repaired_state_module_confirmation,best repaired/compressed branch mean pooled OOF Spearman,"safety pass plus comparison against Stage27C, Stage55, shuffled-state, and shuffled-module controls",see stage57_branch_comparison_v1.csv,local processed H5AD expression for repaired predeclared modules,outer target labels for feature/module selection; causal/therapeutic claims,Follow-up confirmation audit only.
stage58_state_programming_decision_synthesis,complete,Stage58,decision synthesis,synthesize Stage53-57 without new modeling or overclaims,stage58_run_pass=True,pass,existing Stage53-57 outputs only,new modeling; raw data commits; external validation claims,internal decision synthesis and next-data prioritization,Stage27C remains locked; Stage55 remains strongest near-miss.,stage58_state_programming_decision_synthesis,best prior branch score,all synthesis outputs written and claim boundaries preserved,stage58_run_pass=True,committed Stage53-57 tables,new benchmark tuning,Proceed to DLPFC audit and gene-preserved MTG rebuild rather than more MTG feature squeezing.
stage59_dlpfc_microglia_pvm_acquisition_audit,complete,Stage59,DLPFC acquisition/readiness audit,audit local metadata and donor overlap without downloading raw data by default,stage59_run_pass=True,pass,local Stage45 CELLxGENE metadata/inventory,raw h5ad commits; unsupported validation claims,DLPFC acquisition/support readiness audit,DLPFC expression H5AD is not locally present unless separately acquired.,stage59_dlpfc_microglia_pvm_acquisition_audit,donor overlap/readiness,audit outputs and claim boundaries written,stage59_run_pass=True,local metadata CSVs,raw external data committed to git,Acquire DLPFC H5AD only if needed and keep raw data untracked.
stage60_gene_preserved_mtg_microglia_module_rebuild,complete,Stage60,gene-preserved raw MTG module benchmark,restored module genes must beat Stage27C/Stage55 and controls,stage60_run_pass=True,pass,local raw SEA-AD MTG H5AD targeted selected-gene extraction only,raw h5ad commits; broad raw matrix materialization; target-derived selection,internal gene-preserved module rebuild benchmark,Raw H5AD used read-only for selected module genes and Micro-PVM labels.,stage60_gene_preserved_mtg_microglia_module_rebuild,best gene-preserved branch mean pooled OOF Spearman,safe completion and comparison against controls,see stage60_branch_comparison_v1.csv,selected predeclared module genes from raw H5AD,pathology labels during extraction,Follow-up internal benchmark only.
stage61_dlpfc_microglia_pvm_support_audit,complete,Stage61,DLPFC regional support audit,DLPFC support should be schema-valid and claim-bounded; raw h5ad uncommitted,stage61_run_pass=True,pass,single DLPFC CELLxGENE H5AD untracked local raw data,raw h5ad commits; clean external validation claims,regional/internal support audit,DLPFC H5AD acquired to untracked data path if missing.,stage61_dlpfc_microglia_pvm_support_audit,DLPFC state/module support benchmark if schema permits,safe acquisition/schema audit and optional support benchmark,see stage61_branch_comparison_v1.csv,local DLPFC H5AD and MTG pathology table for internal support,raw data committed; causal/therapeutic claims,"Regional support only, not clean external validation."
stage62_dlpfc_state_module_robustness_lock_audit,complete,Stage62,Corrected DLPFC state-module robustness audit,"Repeated donor-held-out aggregate, same80 baseline, negative controls, bootstrap deltas, claim boundaries",robust_regional_support_pass=False; benchmark_lock_candidate_pass=False,pass,local DLPFC H5AD untracked raw data; processed audit outputs,raw H5AD commits; clean external validation/causal/therapeutic/subtype claims,regional/internal support audit and lock-gate classification,Stage62 uses aggregate seed/dim stability rather than best seed/dim promotion.,stage62_dlpfc_state_module_robustness_lock_audit,primary branch mean across predeclared seeds/dims/targets,audit completion with safety pass; lock gates reported separately,see stage62_lock_gate_decision_v1.csv,"corrected Stage61 feature definitions, local DLPFC H5AD, MTG programming/pathology tables",target-derived feature tuning; raw data commit; external validation claim,"Regional/internal support only, not clean external validation."
stage63_dlpfc_signal_instability_diagnosis_and_external_handoff,complete,Stage63,DLPFC signal instability diagnosis and external handoff,diagnostic/handoff-only; no rescue model; no benchmark lock,stage63_run_pass=True; stage27c_remains_locked=True,pass,existing Stage61/62 outputs and donor-held-out OOF predictions,new model branches; threshold tuning; clean external validation claims,hypothesis-generating regional signatures for external support testing,Explains Stage61-to-Stage62 discrepancy and freezes external-testable signatures.,stage63_dlpfc_signal_instability_diagnosis_and_external_handoff,diagnostic completeness and claim-boundary safety,all required diagnostic tables/reports written; safety claims pass,see stage63_external_handoff_table_v1.csv,Stage61/62 artifacts only,new exploratory rescue modeling,Stage27C remains locked; DLPFC signatures are hypothesis-generating only.
stage64_cell_level_microglia_rare_state_mining,complete,Stage64,Cell-level rare/high-tail Micro-PVM mining,pathology-blind module/tail definitions followed by donor-level pathology association,stage64_run_pass=True; ready_for_stage65_external_support=True,pass,local MTG/DLPFC Micro-PVM H5ADs and pathology targets,new rescue model; target-tuned thresholds; clean external validation claims,hypothesis-generating rare/high-tail microglia signatures,Tests whether tail/high-score microglia metrics preserve signal diluted by donor means.,stage64_cell_level_microglia_rare_state_mining,tail-vs-mean pathology association and within-donor high-low contrasts,complete bounded mining and claim-boundary audit,see stage64_external_handoff_signature_v1.csv,existing local H5ADs; frozen module families,new architecture or benchmark rescue,Hypothesis-generating only; external support required.
stage65_retrospective_rare_tail_signal_backtrace,complete,Stage65,Retrospective rare-tail signal dilution audit,diagnostic/backtrace only; no benchmark rescue,stage65_run_pass=True; ready_for_stage66_external_support=True,pass,existing Stage53-64 outputs,new model branch search; target-tuned thresholds; benchmark lock claims,retrospective evidence that rare/high-tail signals may have been diluted by averaging,Compares Stage64 tail signals with prior mean/state-average feature families and instability diagnostics.,stage65_retrospective_rare_tail_signal_backtrace,tail-vs-mean backtrace and high-leverage/fold rare-burden audit,diagnostic outputs and claim-boundary audit complete,see stage65_external_handoff_signature_v1.csv,committed result tables only,new rescue modeling,Stage27C remains locked; Stage66 should test frozen rare-tail signatures externally.
stage66_graph_rare_tail_signal_preservation_audit,complete,Stage66,Graph rare-tail signal preservation/washout audit,diagnostic only; graph proximity plus fixed-alpha smoothing preservation,graph_contains_rare_tail_structure=True; graph_smoothing_washout_supported=False,pass,"existing graph edges, local MTG/DLPFC H5ADs, frozen Stage64/65 signatures",new graph-JEPA rescue; graph alpha tuning; benchmark claim,diagnostic graph preservation/washout evidence,Tests whether broad graph smoothing can dilute rare-tail microglia signal.,stage66_graph_rare_tail_signal_preservation_audit,raw-vs-smoothed tail association deltas and degree-matched graph proximity,audit completion and claim-boundary pass,see stage66_graph_washout_decision_v1.csv,frozen rare-tail modules/signatures and pre-existing graph edges,new model training or target-tuned graph selection,Graph biology may be present even if previous Graph-JEPA smoothing underperformed.
stage67_legacy_cell_level_artifact_and_seaad_availability_audit,complete,Stage67,Legacy cell-level artifact and SEA-AD availability audit,inventory only; no new model; no expression contrast yet,stage67_run_pass=True; ready_for_stage68=True,pass,local committed result schemas and local H5AD schema audit,raw data commits; new modeling; validation claims,availability/readiness for rare-tail cell extraction,Audits v1/v2/v3 artifacts and SEA-AD H5AD availability before Stage68 extraction.,stage67_legacy_cell_level_artifact_and_seaad_availability_audit,joinability/readiness inventory,tables/reports complete with safety pass,see stage67_recommended_stage68_inputs_v1.csv,existing files only,new model execution,Stage68 can extract rare-tail cells and contrast expression using available H5ADs/artifacts.
Stage68 rare-tail cell extraction and expression contrast,complete,Stage68,Stage64 high-tail cells joined to SEA-AD expression rows,bounded within-donor high-vs-low contrasts; no model training or validation claim,stage68_run_pass=True; expression_contrast_written=True,pass,existing local Stage64 cell scores and local MTG/DLPFC H5ADs,new model training; raw expression export; clean validation claims,hypothesis-generating high-tail-cell expression contrast,Extracts candidate rare-tail cell indices and compares high-tail vs low-reference microglia within donor.,stage68_rare_tail_cell_extraction_expression_contrast,joined cell count and high-vs-low expression/state contrasts,required inputs found; contrasts written; claim-boundary audit passes,see stage68_high_vs_low_expression_contrast_v1.csv,Stage64/67 outputs and existing local SEA-AD H5ADs,"new downloaded data, rescue model, benchmark lock",Diagnostic expression contrast only; follow-up biological review/external support required.
Stage69 rare-microglia auxiliary-head JEPA audit,complete,Stage69,donor-held-out pooled OOF Spearman with rare-tail auxiliary targets,must beat no-aux and shuffled-aux controls; no benchmark lock unless strict gates pass,stage69_run_pass=True; best_rare_aux=rare_aux_pls4_w0p2=0.359104,pass,Stage27C local module features and frozen Stage64/68 rare-tail donor summaries,"external validation, new candidate selection, pathology-tuned auxiliary features",internal diagnostic of rare-microglia auxiliary supervision,Low-capacity PLS shared-latent proxy for an auxiliary JEPA head.,stage69_rare_microglia_auxiliary_head_jepa_audit,"best rare-aux delta vs no-aux, shuffled-aux, and Stage27C",outputs written and safety audit passes,see stage69_mean_metrics_v1.csv,frozen rare-tail targets; locked donor folds,"new rescue architecture search, clean external validation claims",Hypothesis-generating modeling diagnostic only.
Stage70 rare-microglia auxiliary-head robustness lock audit,complete,Stage70,repeated donor-held-out robustness of frozen Stage69 rare-auxiliary head,"exact reproduction, repeated-seed superiority over no-aux/shuffled controls, bootstrap deltas, target guards",stage70_run_pass=True; robustness_pass=True; lock_candidate=False,pass,Stage69 frozen setup and existing local Stage64/68 rare-tail features,"external validation, new feature tuning, candidate selection",internal robustness audit for rare-microglia auxiliary supervision,Does not claim clean external validation or therapeutic/causal status.,stage70_rare_microglia_auxiliary_head_robustness_lock_audit,robustness_pass and benchmark_lock_candidate_pass,outputs written and safety audit passes,see stage70_lock_gate_decision_v1.csv,frozen Stage69 condition and controls,new architecture search or external validation claims,Internal lock-candidate audit only; external support still required.
Stage71 full rare-microglia graph JEPA hierarchical benchmark,complete,Stage71,rare-cell representation lock and donor prediction lock,separate representation and prediction locks,representation_lock=False; donor_prediction_lock=False,pass,"local MTG/DLPFC H5ADs, frozen Stage64/68 signatures, STRING graph",external validation claim; architecture/weight/gene/graph search,internal rare-cell representation and prediction benchmark audit,Compact residual graph-aware v1; no new subtype/causal/therapeutic claim.,stage71_full_rare_microglia_graph_jepa_hierarchical_benchmark,rare_cell_representation_lock; donor_prediction_lock,outputs written and safety audit passes,see stage71_representation_lock_decision_v1.csv and stage71_prediction_lock_decision_v1.csv,frozen rare-cell definitions,post hoc tuning,Internal hierarchical benchmark only; external support still required.
Stage72A external multiomic GRN resource eligibility audit,complete,Stage72A,GSE174367/SEA-AD/GSE157827 resource acquisition and eligibility,public resource audit/acquisition only; no graph or model,stage72a_run_pass=True; ready_for_stage72b_grn_construction=True,pass,public GSE174367 processed files and existing local SEA-AD/GSE157827 schema files,"clean validation claims, graph construction, model training",resource readiness / acquisition status only,Raw/large data remain under data/ and are not staged.,stage72a_external_multiomic_grn_resource_eligibility_audit,availability of snRNA/snATAC resources for Stage72B,audit outputs written and safety gates pass,see stage72a_grn_readiness_decision_v1.csv,local inventory and public GEO supplementary files,external validation or model-selection use,Planning/acquisition only.
,complete,Stage72B external Morabito Micro-PVM candidate GRN construction,,,,pass,,,candidate coactivity graph for downstream diagnostics,,Stage72B,predeclared gene coverage and bootstrap-stable coactivity edges,,stage72b_run_pass=True; ready_for_stage73=True,,,ATAC is available but not gene/motif mappable from processed files alone.
Stage73 context-specific GRN graph-JEPA diagnostic,complete,Stage73,context-specific graph vs no-graph/STRING/shuffled controls,must beat no-graph and all graph controls without safety violations,context_graph_lock=False; stage73_run_pass=True,pass,"Stage72B candidate edges, local MTG/DLPFC H5ADs, frozen Stage64/68 signatures",external validation claim; graph threshold tuning; new candidate selection,diagnostic context-specific graph-prior benchmark,Compares Morabito candidate coactivity graph against strict controls.,stage73_context_specific_grn_graph_jepa_diagnostic,mean pooled OOF Spearman and bootstrap deltas vs controls,outputs written and claim-boundary audit passes,see stage73_prediction_lock_decision_v1.csv,frozen Stage72B graph and frozen rare-cell signatures,post hoc tuning or causal GRN claims,Internal graph-prior diagnostic only; external support still required.
